"Business_ID","Address","Cuisine","insertedAtTimestamp","Latitude","Longitude","Name","Number of Reviews","Open","Rating","Zip Code"
"CFR-HzVHKWRMpMAR3LAhzg","432 Union Ave","italian","11/10/2021 17:53:27","40.71338","'-73.95136","Montesacro Pinseria Brooklyn","155","N/A","4.5","11211"
"W5RSIwNKBa7k0jeAs5KDYg","1574 2nd Ave","korean","11/10/2021 17:54:28","40.775049","'-73.953553","Mei Jin Ramen","738","N/A","4","10028"
"FZpm4_fbd6P984foOUejWg","22 W 32nd St","korean","11/10/2021 17:54:18","40.747514","'-73.986884","Jongro BBQ","2132","N/A","4","10001"
"o5mMVFk4Hcpk2FuKfgTgdg","753 Washington St","italian","11/10/2021 17:53:32","40.73687","'-74.00812","Malaparte","349","N/A","4","10014"
"jnHbdsqlTKlPcmJ8BCP9-g","51 Grove St","italian","11/10/2021 17:53:31","40.733148231901204","'-74.00366777251583","Via Carota","671","N/A","4","10014"
"X4hEgOBOLTYFhlWO-gAFxQ","228 Thompson St","chinese","11/10/2021 17:54:10","40.72929","'-73.99882","Tipsy Shanghai","251","N/A","4","10012"
"SyvC0s3y0ZrtnLbwnvw7tw","85 4th Ave","chinese","11/10/2021 17:54:16","40.731338","'-73.990145","Tim Ho Wan","1760","N/A","3.5","10003"
"SaYTVG7wHCMDBofHCgXPaA","307 W 47th St","american","11/10/2021 17:53:41","40.760835","'-73.987823","Dutch Freds","1654","N/A","4.5","10036"
"kPE1RinxVyPbPmdGu9R85A","353 3rd St","indian","11/10/2021 17:54:40","40.74098120033596","'-74.03529974417839","Clove Garden of India","102","N/A","4.5","07302"
"ry7XCoXXxS0DxRmzZLFybw","218 3rd Ave","mexican","11/10/2021 17:54:45","40.7363","'-73.98531","Taqueria Gramercy","112","N/A","4","10003"
"6eqrk1wCQMww_ejze5gvsg","9 Stanton St","italian","11/10/2021 17:53:28","40.7225353","'-73.992492","Forsythia","84","N/A","4.5","10002"
"SOWmvC20kikJBoWE3TmppA","251 E 52nd St 2nd Ave","mexican","11/10/2021 17:54:45","40.7563131","'-73.9677219","Rosa Mexicano","5","N/A","2","10022"
"6JNvLxm0PqgiuoiSXC9OOg","3549 Johnson Ave","indian","11/10/2021 17:54:37","40.886547","'-73.909968","Neem Indian Cuisine","50","N/A","4","10463"
"eQ4QUGvuHGBzsOrphsVc6A","31 St Marks Pl","japanese","11/10/2021 17:53:53","40.728995","'-73.988279","Kimura","128","N/A","4.5","10003"
"Q10FeFs1mtNchv1NbNcsLg","152 E 33rd St","mexican","11/10/2021 17:54:48","40.7453117370605","'-73.9795227050781","Oaxaca Taqueria","135","N/A","3.5","10016"
"VzdToJAHuLY07TlXZTdIwA","346 W 46th St","mexican","11/10/2021 17:54:46","40.76034","'-73.989743","Tito Murphy's","134","N/A","4","10036"
"dDXtga5Kgo5B1twdezcZJA","108 W 14th St","chinese","11/10/2021 17:54:12","40.7377213477598","'-73.9974148512518","Auntie Guan's Kitchen 108","353","N/A","3.5","10011"
"wo7-TKh4B37RTBjPNtkp7w","166 15th St","chinese","11/10/2021 17:54:16","40.7323552298113","'-74.039612951068","Chengdu1","104","N/A","3.5","07310"
"dUxhYX4hfWa4wDfIFgii3g","3912 Union St","korean","11/10/2021 17:54:23","40.7608325","'-73.8269221","Kimganae","804","N/A","4","11354"
"4UxmxAqehEIh7fYrzUEA7A","244 E 53rd St","mexican","11/10/2021 17:54:42","40.7568200311153","'-73.9678929001093","Tacovision","240","N/A","4","10004"
"trkn76h8vQeB8kCUgHJyuw","570 Lexington Ave","indian","11/10/2021 17:54:41","40.75686","'-73.97228","Inday Go Go","18","N/A","3","10022"
"xrnk8mgoV7up6fauVmugpw","249 9th Ave","korean","11/10/2021 17:54:28","40.748209","'-74.00047","Jun-Men Ramen Bar","646","N/A","4","10001"
"'-SYHh9DWvYuBZxkA4gfzHg","234 Starr St","mexican","11/10/2021 17:54:47","40.7055429619569","'-73.9225539192783","Calabrije's Margaritas & Tacos","136","N/A","4","11237"
"jB5fXguSmlX65asSB3KIfQ","974 Blvd E","mexican","11/10/2021 17:54:44","40.77707","'-74.0136","Charrito's Restaurant","700","N/A","3","07086"
"fanlKZzN-fI9LywqQD6EHg","88 Broad St","american","11/10/2021 17:53:52","40.70411","'-74.01186","Broadstone Bar & Kitchen","288","N/A","4","10004"
"WZynqsGjqQLc_T8R80_-7g","102 3rd Ave","mexican","11/10/2021 17:54:46","40.732575","'-73.98806909999999","Yellow Rose","68","N/A","4.5","10003"
"a0IET3_yCFcO36OqGSsisg","200 5th Ave","italian","11/10/2021 17:53:30","40.74195877796","'-73.989716662832","Eataly Flatiron","5715","N/A","4","10010"
"iPc-zPgcpgeSo76xl5Jbpw","32 W 32nd St","mexican","11/10/2021 17:54:42","40.747846","'-73.9872499","The Maze","517","N/A","4","10001"
"igcUHNvsKc-s-RtvUmkg2w","324 E 6th St","korean","11/10/2021 17:54:18","40.72682","'-73.98738","K'OOK","464","N/A","4","10003"
"L9N9O2u_M9Daby9_myK4Yg","4059 High Line","chinese","11/10/2021 17:54:13","40.7480714928872","'-74.004706248683","Mao’s Bao","15","N/A","3.5","10011"
"1HPdyg0OLRkjHeixVmbu0Q","40 W 38th St","mexican","11/10/2021 17:54:51","40.7515296936035","'-73.9846572875977","Cocina Del Sur","127","N/A","4","10018"
"nBoOm-TAhRvbcDkHfKOwGg","205 W 29th St","indian","11/10/2021 17:54:40","40.748161","'-73.993194","Swagat Indian Restaurant","107","N/A","3","10001"
"7bD22UAtH56ikWYslOSIQg","1491 2nd Ave","mexican","11/10/2021 17:54:42","40.77259","'-73.95588","Calexico - Upper East Side","737","N/A","4","10075"
"uJJGpuvwCComknuHj8AKbQ","4006 74th St","korean","11/10/2021 17:54:24","40.746494","'-73.891639","Chung Ki Wa Restaurant","198","N/A","3.5","11373"
"vyKBwzRdNX4yiJDIFv37iw","128 Greenpoint Ave","mexican","11/10/2021 17:54:43","40.7299099","'-73.95548","Oxomoco","391","N/A","4","11222"
"l5ljyjseOlWnvIVEXx0LxA","152 W 52nd St","japanese","11/10/2021 17:54:03","40.76182","'-73.981741","TomoTomo","41","N/A","4.5","10019"
"32VbG_XgkZIuye0PV-BxaA","15 W 21st St","italian","11/10/2021 17:53:37","40.7407551035259","'-73.9914887388588","Zero Otto Nove","483","N/A","4","10010"
"H_KyiRhwho8rdlw_R93_0Q","240 Central Park S","italian","11/10/2021 17:53:34","40.7674213694566","'-73.9810554368179","Marea","2161","N/A","4","10019"
"mTWlEiCUEBlxBAkIikkB1A","2450 Broadway","italian","11/10/2021 17:53:28","40.791077","'-73.973763","Carmine's Italian Restaurant - Upper West Side","1478","N/A","4","10024"
"B6bEkY9sJ_GU2pD2Rwb4gg","208 Columbus Ave","mexican","11/10/2021 17:54:48","40.77578","'-73.98021","El Mitote","542","N/A","3.5","10023"
